uid,park,name
154,Country Haven,countryhaven
156,Stonewood Community,Stonewoodmhc
157,Surfside Community,Surfside Community1
159,Hayden Island MHC,oregon5438
161,Holiday Mobile Home Park,holidaypark
163,Lane County Legal Aid & Advocacy Center,johnvl
164,Idaville Trailer Park LLC,Jay Teninty
165,Silverton Mobile Estates,cindyberlik
167,Lakeridge of Eugene,Rottenbacher
168,Garden Meadows,FC Sims
169,Sunrise Village MHP,oldmotoguy17
170,Sunset View,Frank Dailey
176,Paradise II Village,Paradise II
177,Ridge Management Group,Ridge Management
178,Hazel Glen Court ,Hazel Glen Court
180,Odell Mobilehome Park,victoriareed
181,Value Trailer Court,Mike Sinclair
182,Flamingo Mobile Manor,flamingomanor
185,Chateaubri MHP,Chateaubri
186,Rollin Wheels Mobile Estates,rollinwheels
187,Dundee Hills Estates,RANDALL THOMAS
189,Twin Firs MHP,Marjak
191,Southgate Mobile Home/RV Park,debbies7@q.com
192,"Prairie Winds of Junction City, LLC",prairiewindsjc@gmail.com
196,Frontier Court,dajones
197,Oak Leaf Estates,clinton boyter
200,Peachwood Village,peachwood
204,Greenwood Mobile Home Park,NMunsey
205,Country Meadows MHC,solargary
206,Emily Park,Deborah Romerein
207,Zeida`s Mobile Home Court,Photodown
208,Pioneer MHP,Pioneer MHP
209,Sunnyview MHP,beckichristian@comcast.net
210,Alder Terrace MHP,Alderterrace
211,Glenwood Village MHP,Glenwood MHP
212,Gresham MHP,Gresham MHP
213,Riviera Mobile Park,Hilterbrand
217,Kings Court Mobile City,kingscourt
218,Lake Creek Ranch MHC,ambrose97@rock.com
219,Daneland Mobile Home Park,daneland
220,Meadow Creek Village,mcv100
221,Bear Creek Mobile Home Park LLC,bcmhp
226,Mobile Estates,Doughmc@yahoo.com
227,Pioneer Park Mobile Estates,Pioneer2
231,Gold Beach Mobile Home Park,GBMHP
232,Attorney,Jeffrey S. Bennett
233,Oak Acres MHP,Oak Acres
235,Five Acres Mobile Home Park,5AMHP123
236,"The Meadow on Pitney Pond, LLC",themeadow
237,Belle Aire Villa LLC,BelleAire
238,four seasons mobile home park,davidmhancock
239,Valley Center Mobile Home Park LLC,ValleyCenter
245,Maple Lane Estates,bonnie oshiro
247,Fir Grove Mobile Court,Fir Grove Mobile Court
249,Somerset Heights,craigsiler7272
253,Salmon River Mobile Village,Patricia G Heringer
255,"Juniper Hilltop MHC, LLC.",jhmhc
256,rosehaven mobile park,fishermansdreams
257,Whisper Creek,larry mendoza
258,Haven Manor,Havenmanor2011
259,Midway Mobile Home Park,ecomidwaylp
260,Shalimar Estates,ShalimarE
261,"Heather Manor, LLC",HeatherManor
264,Oakwood Mobile Manor,Charlotte Outman
269,Hilltop Mobile Home Park LLC,Ramona New
271,Cumberland ,Terry B
272,Sunny  Slope  Mobile  Ranch,pritchett-hinds
273,Town and Country Mobile Estates,maxma
279,Palmquist Estates,Palmquist Estates
280,Palmquist Terrace,Palmquist Terrace
281,Aspens on the Creek,Aspens on the Creek
282,Woodland Mobile Home Park,Woodland Park Managers
285,Highland View Mobile Estates,mhuarte
286,Springwood of Beaverton,springwood
287,Gilley Mobilehome Square,Trudy Harris
288,North Star MHC,North Star MHC
290,"North Plains Holdings, LLC",ed@bartholemy.biz
291,Storz Management Company,christina
294,Treasure Valley Mobile Village,TVMobileVillage
297,Emerald Village MHP,emeraldvillagemhp
298,Pioneer Mobile Park,pioneermhp
300,Dundee Hills MHC,dundee12
301,Jims Mobile Home Park LLC,jimsmobilehomepark
305,Marshall Beach ,watersp
307,Camas Court,woody@eoni.com
308,Carver Mobile Ranch,Gracie Newcomb
310,Elk Creek MHCO,janetimulder@gmail.com
312,Carefree  Mobile Village,carefreemhp
314,Arneys Forest View MHP,gloriadcr@aol.com
315,SILENT CREEK,sgclark
316,whispering Pines,jeff mishkin
319,Country View Mobil  Home Est,Alvin Eatinger
323,Trails End Mobile Home Park,Brian Bell
324,Terrand Mobile Terrace,bradleymary
326,Mobile Estates,brucehmc
328,Umpqua Mobile Villa,umvreed
329,Frontier Mobile Estates,Steven J. Names
333,Silverleaf,Al
334,THREE RIVERS VILLAGE,three rivers village
337,Sunnyside Mobile Home Park,sunny55park
338,"Westview Mobile Estates, LLC",imacochrane
339,Bella Casa ,imacochrane-Bella
340,Colonial,imacochrane-Colonial
341,Oakvilla Mobile Home Park,imacochrane-oakvilla
343,Pin Oak Park,ramburgey
344,"Prairie Village MHP, LLC",RhorstmanPV
345,Giadanj Estates,GiadanjEstates
347,Century Farm MHP,fancybear
349,"Rainbow Villa MHP, LLC",scopingdarby@comcast.net
350,Maple Lane Estates,frank1394
351,"Country Mobile Estates, LLC",Ron Danielson
355,Lanters Landing,KLB
356,Knoll Terrace,entera-KTM
357,Briarwood MHP,Gfletcher
358,RidgeView Village,ridgeviewvillage
360,Miller Estates,Carol Bennett
364,Royal Oak Mobile Manor,MikeEdwards
367,"Ryan`s Outpost, LLC",Ryan's Outpost
372,Periwinkle Mobile Estates,david kuntz
374,Rogue Valley South,Beth
376,Desert Mobile Estates,Desert
377,Sunset Estates,Sunset
378,Greenway Village Mobile Home Park,Greenway
381,Foley Lakes,foleylakes
386,Cherry Lane Mobile Park,cherrylane
387,Blue Moon MHP,Allan Quigley
388,Shirleen Trailer Park,Rbost
389,Country View Mobile Home Park,CountryView
390,Colonial Mobile Estates,Colonial Mobile Estates
391,Aloha Sun,jmartin
394,Oceanview Mobile Estates,oceanview
397,Nut Tree Ranch,Nut Tree Ranch
400,Arbor Mobile Home Park,arbormhp
401,Queen`s Garden Mobile Home Park,Elaine
402,Mobile Home Corral Mobile Home & RV Park,LaurieMeeke
404,Deception Creek Mobile Park,Gene
409,Countryside Estates - Philomath,Countryside Estates
411,Paradise Island Park,Bunny
412,Foster Lake Mobile Home and RV Community,AngelaFerebee
417,green acres mobile home park,green acres mhp
420,hat rock mobile court,mmjewett
421,Ocean breeze Mobile home Court,Ted Wiemer
424,Buttercreek Mobile Home Park,Buttercreek
426,Homestead Community Inc,bertielee
428,Wood Village Mobile Home Park,Wood Village
429,DWT,bminer
430,Meadow Park Mobile Estates LP,meadowpark
432,Rogue River Mobile Estates,Carol Boettcher
433,Rogue River Campground,Rogue River Campground
434,totem village park,tim at totem village
439,Hannah Del Estates,hannahdelestates
443,Royal Court ,jphammer
444,Commonwealth,Tom Petitt
446,Orland Villa,Orland
447,Harrisburg Mobilehome Park,jfcochrane
450,"Puerto Vista MHC, LLC",puertovista@pvmhc.com
454,Crown Court MHP,Ted Caliouette
456,Orchard Point Mobile Homes,tcopmh
457,Brookside Mobile Village,cateyes1652@comcast.net
460,Arbor MHP,laurahallett
462,Sheridan Senior Estates,sheridansrmhp
464,Larsons Moorage,patlarson
465,Steeves Mobile City,steeves129
466,Cascade Village MHC,cascade village
468,Vista Hills Mobile Home park,VHMHP
469,Town and Country Mobile Home Park,TCMHP
472,Lakeridge of Eugene,lakeridge
474,Rose Haven Mobile Park,rosehavendreams
476,Sandy Frontier Trailer Court,rosenbarger
477,Crestwood Manufactured Home Community,CrestwoodMHC
482,WillowCreek Mobile Home Park,Willowcreek
485,Fox Run,FoxRun MHP
486,"Riverbend MHP, LLC",Vicky Holmgren
488,"Cedar Tree Mobile Home Park, LLC",Jim Clackum
491,"Quail Run Estates, LLC",Pamela Kennon
492,"Reedway Place, Inc.",reedway
494,Driftwood Gardens,gbpdg2001
499,Four Seasons Mobile Home Park,Fourseasonscoburg
503,Dexter Oaks MHP,super0aks
505,Azalea Gardens Mobile Home Park,Azalea Gardens
509,Wagon Wheel Village,damschenllc
510,"Altramar II, LLC",altramarllc
511,ORCA Mobile Court,cjr
512,Linwood Mobile Estates LLC,linwood
514,Hood Chalet Mobile Home Estates,Hood Chalet Mobile Home Park
518,Stonewood Community,StacyLund
520,Gainsborough Homes,gainsprk@pacinfo.com
521,Maple Terrace Mobile Home Park,maple
523,The Patrician Mobile Home Park,Whitney Boss
526,"The Meadow On Pitney Pond, LLC",steveharer@gmail.com
533,Royal Terrace Mobile Home Park,Deb Shores
537,Cedar Glen Estates,Wells
538,Indian Oak,Tom Scott
543,Marcy Manor,leesh
548,Ridgewood and Sunrise MHPS,ampayne
549,"Deer Pointe Meadows, LLC",deerpointemhp
550,"Deer Pointe Meadows, LLC",Karen Lamar
551,Candlewood Park,SBowling
556,Town and Country Mobile Estates,TCMobile1234
557,Porter Creek MHP,daddan77
566,Bigfoot Mobile Home Park,bigfootmhp
567,Smoketree MHC,smoketree
568,Culver Mobile Home Park,Nancy Douglas
569,n/a,Pegge McGuire
570,Greenway Manufactured Housing Community,greenway@hcamgmt.com
578,Council Bluffs MHP,councilbluffs
579,ORIENT DRIVE MOBILE ESTATES,orientdrive
581,Farmview Park,FV Park
582,Driftwood Estates,Driftwood Estates
584,Forest Park MHP LLC,forestparkmhp
585,"Glenwood Trailer Park, LLC",Glenwood Trailer Park
587,Tolman Creek Park,TCP LLC
588,Meadow Village MHP,ricklfs2
590,Apple Blossom Mobile Park,appleblossom
591,Fairview Mobile Home Court LLC,fairviewmhc
594,Applegate Mobile Park,applegateparkoregon
595,Odell Mobile Home Park,Maria Sanchez
596,Mountain View Mobile Home Park,Mountain View MHP
598,East Evans Mobile Estates,EastEvans
603,Redwood Mobile Park,Lana Lavenbarg
609,Commonwealth Real Estate Services,LorenLandau
611,Parkside Mobile Court,LaVonne13
613,Associate Member,marklbusch1
617,Hillcrest Mobile Home Court,kgailf1121
619,Cedar Shade RV & Mobile Home Park,Cedar Shade
620,"Newberg Mobile Park, LLC",dl.pete
621,Orchard Lane MHP,Orchardmhp
622,Royal Terrace,royal terrace llc
623,Meadowlark Mobile Manor,Pisgah
624,Hood River Mobile Manor,laszloregos
626,Creekside Estates of Hillsboro,gfdetrick
627,Char Diaz Estates,CharDiaz
628,Cascade Mobile Villa,sadredhead
630,Mt.View Mobile Park,cicero
633,Royal Oaks MHP,donjmcpherson47
635,Madrone Hill Mobile Home Park,JMacD
637,Woodburn West Mobile estates,Woodburnwest
638,Orchard Lane Mobile Home Park,rebeccamhco
642,Highland Heights Estates,patterson22
643,Poplar Mobile Manor,poplarmobilemanor
645,Royal Oaks ,royaloaks
647,Hillcrest Mobile Home Park,Hillcrest
648,Fernridge Mobile Estates,Nicole
649,Fern View MHP,FernView MHP
650,Rosewood Park Place,LauraLe
651,Country Village MHP,patterson23
655,"J & M Homes, LLC",jandmhomes
656,Oakridge Mobile Home Park,oakridge
657,Concord Terrace Mobile Hm. Park,Concord Terrace
659,Currinsville Mobile Home Park ,CV MHP
660,Trailer Villa,parsonsj
662,Snowberry Village,Joan volny
862,Redmond MHP,rjuddhancock
863,Smith Rock Mobile Estates,sjuddhancock
865,Sunshine Cove Mobile Home Park,Mona
866,Seaver MHP LLC - dba Seaver Mobile Home Park,Seaver MHP
889,Mark fun park,Mlondon
890,Knollwood Estates,knollwoodestates2014
892,Riverview MHP,Riverview MHP
893,Oakview Terrace Mobile Home Park,OakviewTerrace55
894,Twin Fir Mobile Park,twinfirmobilepark
898,San George Estates,sangeorge
899,Westport Villa 2 Mobile Home Park,Westport II
900,Westport Villa 1 Mobile Home Park,Westport I
907,Wood`s Trailer-RV Park,germanchocolate
915,Fir Trees Mhp llc,firtreesmhp
921,Deschutes Mobile Home Park,Drbirdcpa
922,Daniels Mobil home Park,mtmmanning
923,Round Lake Mobile Home Park,roundlake
925,Round Lake Mobile Home Park,roundlake2
927,Snowberry  Village,mikemax421
932,Meadowlark Mobile Manor,meadowlarkmobilemanor
939,Western Villa MHC,WesternVillaMHC
1070,Bayview Mobile Home Park,BayviewMHP
1081,Marissa Estates,leeshan
1095,Driftwood Gardens,robolds
1103,Garfield Mobile Park,Chad PM
1108,Tumalo Mobile Home Park,gooddogbeau
1110,Northpark Mobile Village,northparkmv@gmail.com
1117,Country View MHP,CountryViewMHP
1118,Springbrook,Springbrookmhp
1120,Eagleview Dr. Mobile Home Park LLC,Eagleview Dr.
1125,Ridgeview MHP,Ridgeview
1127,The Patrician,Cloverdale
1131,Valley View Mobile Court Inc,shdavishomes
1137,Credit Human Federal Credit Union,mountain1
1148,Linda Vista Trailer Court,Trent2Clink
1155,Alsea Merchantile Trailer Park,kelley0720
1157,Rolling Hills Mobile Terrace,RollingHills
1158,Bud`s Campground and Grocery ,bleemer1
1164,CASA of Oregon Manufactured Housing Cooperative Development,mhcdstaff
1166,Driftwood Mobile Home Park,driftwoodmobilehomepark
1168,JMI Insurance Inc.,lynne@jmiinsurance.com
1186,Simmons & Associates Insurance,tmonte
1193,Poplar Mobile Manor,Poplar Mobile Manor Sally
1194,Mobile Estates,mobile estates
1207,Bay Air  MHP,Bay Air
1234,Evergreen MHP,ejuddhancock
1235,Dunaway MHP,djuddhancock
1236,Camellia Park,Tim Danforth
1240,Larson's Moorage,Katie Poole-Hussa
1244,Monmouth Meadows MHP,wordstitcher430@gmail.com
1245,Commonwealth Real Estate Services,Daedra
1248,Odell Mobile Home Park,marcusomhp
1251,WMA,sheiladey
1253,Kennedy Meadows MHP,sheria
1265,Wunder Mobile Park,Stephanie Miller
1272,Broadway Mobil Home Park,LindaMarsden
1275,Aspen Meadows,aspenmeadows
1278,ALTRAMAR,Altramar
1280,LEISURE DAYS,Leisure Days
1282,Rhoades MHC LLC,Rhoades MHC LLC
1283,Scandia,SCANDIA
1286,Meadow on Pitney Pond,fcpc
1287,Riverside Gardens MHP LLC,ktardier
1291,Gray`s Mobile Home Park,Charlotte
1293,Whispering Pines RV Park,Whispering
1294,Springwood of Beaverton,cherijoyce
1295,MYRA LYNNE MANUFACTURED HOUSING COMMUNITY,MyraLynne
1302,LOCUST MOBILE VILLAGE,locust mobile village
1305,Greenway,DioDro87
1306,Rogue Valley South,m.davee
1307,Myra Lynne MHC,myra lynne
1308,Azalea gardens,vince
1309,Lilly Court,Lilly Court
1319,Westlake Village MHP,Westlake Village
1327,First Commercial Properties,First Commercial Property Corp
1332,Bavarian Village Mobile Home Park,bvillage
1334,Walker Park,AffinityGroup
1338,Alder Manor MHC LLC,Aldermanor
1342,Hayden Island MHC ,heatherlynn820
1352,Wiard Street Mobile Home Park,Wiard Street
1354,Colliers International ,alexander.cheng@colliers.com
1356,Royal Oaks Estates,management@royal-oaks-estates.com
1362,BellAcres LLC dba BellAcres Mobile Estates,BellAcres LLC
1363,Hope Street Mobile Home Park,earl wessel
1367,Crossroads Mobile Home Park,Crossroads
1382,Lakeshore RV Park,Lakeshore RV Park
1404,Mt. View Mobile Park,Hergert
1406,West Winds Park,West Winds Park
1412,Davis Wright Tremaine,SarahAmes
1417,Western Carriage Estates,Lelah Doyle
1426,Two Rivers Homeowner's Co-Op,GMHP Manager
1475,Holly Tree Mobile Home Park,HTMHP
1476,Mt.View Mobile Estates,karend
1506,Shore Terrace Estates,shoreterraceestates
1509,Hayden Island MHC,Gary W Griglak
1524,"Country Mobile Estates, LLC",RobertCountry
1531,Trask River Mobile Home Park,Trask River
1532,SongBrook ,NikkiBuschsb
1534,Monta Loma Park,montaloma
1536,Orchard MHP,orchardmhp2
1555,Circle Cedar Court,Jim Powell
1578,Smith`s Mobile Estates,Emonenterprises
1579,meadowlark mobile manor,meadowlark mobile manor
1583,Roundup Trailer Park,roundup
1586,"Heather Manor, Puerto Vista. Quail Run. Spring Meadow",Commonwealth Investors
1597,Grand View Mobile Home Park,Blangenmayr
1599,Mountain View Mobile Estates,Mountain View Mobile
1600,Maple Lane Estates,Maple Lane Estates
1620,Westlake Village Mobile Home Park,WLV
1621,Midway Village,Thomas Hamilton
1633,Valley View ,hiefield
1646,Crown Court,Dean Painter
1648,River Bend Mobile Resort,Riverbend
1651,Green Acres RV Park,rickboro@msn.com
1665,Pacific Mobile Home Supply,pacificmobilehomesupply@gmail.com
1685,Birdsdale View Acres,Birdsdale.View.Acres
1687,Cherry Blossom MHP,Cherry Blossom
1688,Welcome West MHP,WelcomeWestmhp
1696,Crown Park,Crownpark
1714,Fox Run,beckichristian
1715,Silent Creek,gil@q.com
1716,Country Estates MHP,Dan Marple
1719,Desert Terrace Mobile Estates,DTME
1720,River Road Mobile Estates,RRME
1721,River Road Mobile Estates,River Road
1724,Clairmont Mobile home Park,Clairmont
1729,Clairmont,Jotobin21
1730,River Road Mobile Estates,rrme1234
1731,Hillsboro Mobile Home Park ,paulafernandez
1734,Santiam Village North,Santiam Village North
1735,Santiam Village South,Santiam Village South
1748,Scotts View Mobile Home Park,Scottsview MHP
1753,Deer Island Village,LNClement
1766,Driftwood Mobile Homes,dwestates
1767,Western Carriage Estates,alpinesteve
1768,Wildwood Villa MHP,Wildwoodmobile
1770,Sublimity Mobile Village,SMVHB2015
1775,Royal Mobile Estates,RMEJville
1791,Sublimity Mobile Village,acoleman
1796,mount pleasant,criaigr
1798,Whaleshead Beach Resort,Whaleshead Beach Resort
1802,Clairmont Mobile Home Park,clairmontpark
1812,Green Oaks Mobile Ranch,Greenoaks
1816,Commonwealth Real Estate Services,Jenfandrey
1824,riverside meadows,carrie21543
1825,Clairmont ,suzymichaelson
1827,Culver Mobile Home Park,culvermhp
1842,BARLOW TRAIL ESTATES,barlowtrail
1852,Riverside Meadows Mobile Home Park,sassad
1862,Hidden View Estates,Hidden view estates
1864,Praire Village MHP LLC,Whitephang
1870,"Sterling Mobile Home Park 2016 LLC, DBA Newton Creek Manor",UCPM
1898,Southbrook Mobile Home Park,southbrook
1905,Trailer Villa,TrailerVilla
1907,Country Squire Estates,Country Squire
1909,El Rancho MH RV Park,Reexperts1
1937,Wood Village Estates,WoodVillage
1939,Pacific City Trailer Park,pctpark
1940,Country Haven,rogerfreeborn
1942,Tamarack Mobile Home Park,tamarack
1946,Villadom MHP,VilladomMHP
1947,Bend Trailer Park,drbrinkman1
1953,"Ault Acres, LLC",aultacresllc
1959,Commonwealth Real Estate,Jim Ryan
1967,Little River Mobile Home Park,LittleRiverMHP
1969,Emerald Estates Mobile Home Park,EmeraldEstates
1970,Tonopah Village,Tonopah
1971,Alpine Meadows Mobile Estates,AlpineMeadows
1973,Carriage Park Estates,KMcPhersonCPE
1989,Surfside Community,Surfside Community
2002,Commonwealth Real Estate Services,melisacook
2008,River`s Bend Marnia,RBM
2018,Country Manor,Jgattenberger
2021,Colliers International Valuation,andrew.boespflug@colliers.com
2022,"Oregon Solutions, Portland State University",mpmills
2026,Flamingo Mobile Home Park,rbekey
2035,Glen Tualatin Mobile Home Park,ghallman
2041,Lucky Lodge,llrvp
2052,Columbia City Estates,jorge1958
2053,Rental Assistance Program,Talley
2055,Lakeside MH and RV Community,karencunard
2063,Garden Circle MHP,gcmhp20
2075,Oregon Manufactured Housing Association,Jessica Carpenter
2104,Cascade Cove,cascadecove
2119,Mountain View Estates,MountainViewEstates
2131,Valley MHP,ValleyMHP1
2194,J and M MHP,Jm mhp
2196,Tivoli Mobile Home Park,Tivoli
2198,Western Hills ,western map
2199,Glen Tualatin,joaniecline
2202,Harbor Village Mobile Home and RV Park,Harbor Village
2210,Bullard Law,speterson
2213,Benham Lane Mobile Home Park,LauraCain
2214,Portland American Mobilodge,pam
2215,"Subbmeter Solutions, Inc",SubmeterSolutions
2222,Lucas MHP,Andrew
2225,Tomasi Salyer Martin,edubay
2231,Smith Farm Estates,smithfarmestates
2238,Riverview Estates Mfd. Home Park,RVMHP
2240,Rose Grove MHP,ppdot
2265,Dorena Lake MHP,StevenA
2267,Camellia Mobile Home Park and  Apartments,---------------- Camellia Mobile Home Park------------------
2268,Shorepines Bay Village,mhallbusiness5@gmail.com
2269,Countryside Estates ,taraf
2270,Riverside Mobile Terrace,Burnell
2271,Commonwealth,Brian Hoag
2272,Springhill,springhill
2274,Walnut City Mobile Estates,ttrimco
2275,Mobile Home Corral,johnnymeekejmi@gmail.com
2276,Harrisburg Mobilehome Park LLC,JBHolmes
2279,Campus Green,Killy
2280,Country Mobile Estates LLC,Country Mobile Estates LLC
2281,Greenspot Mobile Home Park,Greenspot
2283,"Tidewater Mobile Home and RV Park, LLC",Toledo
2285,"Northwest Park Brokerage, Inc",nwparkbrokerage
2286,Shady Brook MHP,shadybrookmhp
2287,Patrician Mobile Home Park,PLundeen
2289,Longview Hills,Longview HIlls
2292,Mt. Hood Mobile Home Park,msbproperty
2293,N/A,repbillkennemer
2303,River Hills Estates,River Hills Estates
2304,Skyline Moorage and Marina,timrotter
2309,Oak Leaf Mobile Home Park,Oak Leaf
2310,Kathleen Manor,Candy Olson
2312,Chehalem Mobile Park,jameskeller217@comcast.net
2314,Wyoming Circle,WyomingCir
2317,Jefferson Acres Mobile Home Park,Christian@ircenterprises.com
2318,Sundowner Mobile Home Park,Sundowner
2319,Jefferson Mobile Acres,JAcres
2321,Deer Island Residential LLC,DHoldridge
2324,Monroe  RV Park,MonroeRVPark
2332,Country Edge estates,Pam Brandt
2353,Rivers Edge Park,Rivers Edge Park
2355,Creswell Court LLC,creswell court LLC
2371,Creswell Court,Creswell Court MHP
2375,"Spring Meadow Estates, LLC",Spring Meadow
2379,Creswell Court,foote73
2381,Summer Oaks Park,mmoore
2382,Viking Mobile Villa,vikingmhp
2383,Firhaven MHP,FirhavenMHP
2390,Mountain View Trailer Park,mountainview
2396,Greenspot Mobile Home Park,GreenspotManager
2397,Willow Creek Mobile Home Park,WillowCreekManager
2399,roundup trailer park,tara103172
2401,Firhaven MHP,FIRHAVEN MHP
2403,SunnyviewMHP,Sunnyview
2404,Brownsville Mobile Home Park,bmhp20
2407,Neilson Mobile City,NeilsonMC
2410,Garden Meadows,skydiver
2414,ORCA,Mishey Real Estate
2415,ORCA,Dennis Gaskill
2420,Boiler Bay RV Park,BoilerBayRV
2421,Sandy Mobile Villa,bdavis
2426,Knoll Terrace ,ahoward
2428,River View Manufactured Home Park,PatrickRogers
2435,Allen`s Mobile Villa,Allen's Mobile Villa
2438,Sea & Sand RV Park,blondiepjs@aol.com
2439,Deschutes Mobile Park,April N Larsen
2440,Evergreen Estates,evergreenestates
2441,Meadowlark Mobile Manor,Jeri Nunley
2447,Cornelius Manor,corneliusmanor
2448,Cornelius Manor,corneliusmanorpark
2458,Hayden Island MHC,Mgr4098
2463,Saginaw Mobile Home Park,Saginaw
2464,Parr Acres,RuthMickDeTom
2465,Complete Mobile Home Sales LLC,complete
2467,"Heritage Park, LLC",ncboyles
2468,Pleasant Hill Mobile Estates,PleasantHill
2471,Ashland Acres Mobile Estates,aamhp
2476,Mount Shadow MH Park,Gayle Blasdell
2480,Lakeside Mobile Home & RV Community,oregonrose
2481,Chaparral Mobile Ranch,Sackett
2484,Valley Estates LLC,vestates
2485,Eugene Mobile Village,EugeneMobileVillage
2486,Twin Totem MHP,TwinTotemMHP
2498,Summer Oaks Park,MAllen77
2513,Clark Park,Clark.Park
2526,Emerald Coast Estates,jimallen ece
2527,Kennedy Meadows MHP,Daniel
2528,Country Villa Court LLC,CountryVillCourtLLC
2537,Rosehaven,SharonLacey
2543,Parr Acres,DeTomLLC
2547,Commonwealth Real Estate Services,brittany.swigert@cwres.com
2549,"Querin Law, LLC",PQuerin
2550,Industry Category - Legal (Hart King) ,HartKing2017
2551,Marcus & Millichap,paztime
2552,Hope Valley Resort,danielparks3
2554,Longview Hills,LongviewHills
2557,Bend Trailer Park,bgnaseco
2562,San George Estates,ksalnardi541
2563,Shamrock Village RV Park,manager@shamrockvillagepark.com
2592,Marissa Estates,Marissa Estates
2593,Cedarwood Estates,Cedarwood Estates
2595,Bend Trailer Park,Tpearce
2598,Hwy 58 Mobile Home Park,tklein
2600,Emerald Valley RV Park,EVmanager
2611,Aloha Sun,cjohnston
2612,Glen Tualatin,GlenTualatin
2617,Bend Trailer Park,brad@nasecowest.com
2621,Sandy Mobile Villa,Finesseqx
2624,21st Mortgage Company,hvires
2633,Harwood Mobile Manor,Harwood
2642,Pillars Mobile RV Park,pillarsmobilerv@gmail.com
2661,"Rainbow Villa MHP, LLC",don18120
2680,"Guardian Water & Power, Inc",guardianwp.com
2682,Taft Mobile Home Villa,bobbiesbabys
2683,Oregon Law Center,lhauber@oregonlawcenter.org
