fnid,vid,type,language,titties,body,teaser,by,columnimage,featureme,columntype,authoorg,authuid,mereal,pub,revtime,comment,promote,sticky,tnid,translate
12914,16014,column,und,Mark Busch Q&A: RVs: RV Rental Agreements,Null,Null,23,99999,0,100000,100001,839,1,1415045779,1562265641,1,0,0,0,0
12915,16015,column,und,Fair Housing and Developmental Disabilities,Null,Null,23,99999,0,100000,100001,839,1,1415046233,1533923025,1,0,0,0,0
12916,16016,column,und,"Rental Policies That Fined Families for Kids' Riding Bikes Yields Settlement - Oregon Landlord Fined $65,000",Null,Null,23,99999,0,100000,100001,839,1,1415046847,1512942459,1,0,0,0,0
12917,16017,column,und,Manufactured Homes and Submetering ,Null,Null,23,99999,0,100000,100001,839,1,1415046970,1415046970,1,0,0,0,0
12918,16018,column,und,Beyond The SAFE ACT with Blackhawk Capital Group,Null,Null,23,99999,0,100000,100001,839,1,1415053605,1512942459,1,0,0,0,0
12919,16019,column,und,Revisiting Rules and Regulations in All-Age Communities: Unenforceable Rules Trumped by Familial Status Rights,Null,Null,23,99999,0,100000,100001,839,1,1415053775,1512941679,1,0,0,0,0
12920,16020,column,und,Helpful Tips for 55 & Older Community Owners,Null,Null,23,99999,0,100000,100001,839,1,1415054001,1415054001,1,0,0,0,0
12921,16021,column,und,Submeter Your Community at Zero Out of Pocket Landlord Expense,Null,Null,23,99999,0,100000,100001,839,1,1415054164,1415054164,1,0,0,0,0
12922,16022,column,und,Can You Afford to Keep Utilities Included in Your Rent?,Null,Null,23,99999,0,100000,100001,839,1,1415054599,1512942461,1,0,0,0,0
12923,16023,column,und,Americans With Disabilities Claims (ADA) - Is There a Target on Your Back?,Null,Null,23,99999,0,100000,100001,839,1,1415054761,1561871805,1,0,0,0,0
12924,16024,column,und,Current Lending Climate for Manufactured Home Communities,Null,Null,23,99999,0,100000,100001,839,1,1415054910,1415054910,1,0,0,0,0
12925,16025,column,und,Form 1099 and Protecting Your Investment,Null,Null,23,99999,0,100000,100001,839,1,1415055197,1415055197,1,0,0,0,0
12886,15986,column,und,Mark Busch RV Q&A: Do I Need a Security Guard?,Null,Null,23,99999,0,100000,100001,23,1,1408647874,1409775016,1,0,0,0,0
12887,15987,column,und,Phil Querin Q&A: Recovery of Capital Costs for Installation of Sub-Metering System,Null,Null,23,99999,0,100000,100001,23,1,1408978286,1410213762,1,0,0,0,0
12889,15989,column,und,Phil Querin Q&A: Late Fees: A Primer,Null,Null,23,99999,0,100000,100001,23,1,1409238933,1512942462,1,0,0,0,0
12890,15990,column,und,Phil Querin Q&A: Changing Screening Criteria,Null,Null,23,99999,0,100000,100001,23,1,1410797365,1512942462,1,0,0,0,0
12891,15991,column,und,Mark Busch Q&A: RVs: Can I Rent to RVers,Null,Null,23,99999,0,100000,100001,23,1,1410877935,1512942462,1,0,0,0,0
12896,15996,column,und,Phil Querin Q&A: Reasonable Accommodation Request and Social Anxiety Disorder,Null,Null,23,99999,0,100000,100001,23,0,1411519329,1415155213,1,0,0,0,0
12897,15997,column,und,Phil Querin Q&A: Dealing With A Convicted Sex Offender In The Community,Null,Null,23,99999,0,100000,100001,23,1,1412261887,1512942462,1,0,0,0,0
12898,15998,column,und,Water Submetering in Your Community,Null,Null,23,99999,0,100000,100001,23,1,1412354198,1512942461,1,0,0,0,0
12899,15999,column,und,Phil Querin Q&A: MHCO's New Form 2A - Where is the Security Agreement Filed?,Null,Null,23,99999,0,100000,100001,23,1,1412618158,1512942462,1,0,0,0,0
12900,16000,column,und,Mark Busch Q&A: What's New In RV Law?,Null,Null,23,99999,0,100000,100001,23,1,1412693922,1562265641,1,0,0,0,0
12902,16002,column,und,The Ten Worst Mistakes to Avoid in Community Management,Null,Null,23,99999,0,100000,100001,23,1,1413047415,1415042423,1,0,0,0,0
12905,16005,column,und,Phil Querin Q and A: Are The Root Systems of Trees a Landlord or Tenant  Responsibility?,Null,Null,23,99999,0,100000,100001,23,1,1414690240,1512942462,1,0,0,0,0
12930,16030,column,und,Phil Querin Q and A - Space Erosion - What is the Landlord's Responsibility?,Null,Null,23,99999,0,100000,100001,23,1,1415155168,1415155168,1,0,0,0,0
12931,16031,column,und,"Phil Querin Q and A - ""Assistance Animals - When Do They Become A Ruse?""",Null,Null,23,99999,0,100000,100001,23,1,1415896410,1512942462,1,0,0,0,0
12933,16033,column,und,Phil Querin Q and A - Oregon's Joint Venture (Legalization of Marijuana)  - How Will It Affect Community Owners?  What you need to know about POT Legalization and Your Community.,Null,Null,23,99999,0,100000,100001,23,1,1416416660,1512942459,1,0,0,0,0
12934,16034,column,und,Mark Busch Q&A: My RV Tenant Owes Me Money!,Null,Null,23,99999,0,100000,100001,23,1,1417017758,1561871853,1,0,0,0,0
12936,16036,column,und,Phil Querin Q and A - How do we get a resident to remove trees they planted?,Null,Null,23,99999,0,100000,100001,23,1,1417646669,1512942462,1,0,0,0,0
12938,16038,column,und,Important Provisions To Consider In Your Rules and Regulations,Null,Null,23,99999,0,100000,100001,23,1,1418065397,1418078222,1,0,0,0,0
12939,16039,column,und,Phil Querin Q and A - Home Not Removed - Storage Agreement About To Expire,Null,Null,23,99999,0,100000,100001,23,1,1418310891,1531955625,1,0,0,0,0
12940,16040,column,und,Phil Querin Q and A - Resident Demands to Plant Marijuana in Space For Medical Marijuana Business,Null,Null,23,99999,0,100000,100001,23,1,1418844770,1512942462,1,0,0,0,0
12942,16042,column,und,Aging In Place - Challenges and Solutions,Null,Null,23,99999,0,100000,100001,23,1,1419359454,1512941679,1,0,0,0,0
12943,16043,column,und,Aging In Place - Challenges and Solutions,Null,Null,23,99999,0,100000,100001,23,1,1419359458,1512941679,1,0,0,0,0
12945,16045,column,und,Phil Querin Q&A - Pass Through of Sewer Charges,Null,Null,23,99999,0,100000,100001,23,1,1421342587,1533925494,1,0,0,0,0
12946,16046,column,und,"Water Sub-metering In Oregon by Erik Twenge, General Manager, Jet Utilities",Null,Null,23,99999,0,100000,100001,23,1,1421759844,1512942459,1,0,0,0,0
12947,16047,column,und,Phil Querin Q&A: Sub Leasing and Eviction,Null,Null,23,99999,0,100000,100001,23,1,1421966187,1534198175,1,0,0,0,0
12948,16048,column,und,Phil Querin Q&A: Dealing With A Troublesome Caregiver,Null,Null,23,99999,0,100000,100001,23,1,1422289737,1533922790,1,0,0,0,0
12950,16050,column,und,"Mark Busch Q&A - Deceased Tenant's RV,  Vehicle and Other Property",Null,Null,23,99999,0,100000,100001,23,1,1422463404,1561871853,1,0,0,0,0
12958,16058,column,und,How Age-Restrictive Rules Can Violate the Fair Housing Act: Lessons From the Plaza Mobile Estates Case,Null,Null,23,99999,0,100000,100001,23,1,1422905544,1561871727,1,0,0,0,0
12963,16063,column,und,"Phil Querin Q&A - Assistance Animal -  First There Were Two, Now Two More and Counting ....",Null,Null,23,99999,0,100000,100001,23,1,1423067121,1425488418,1,0,0,0,0
12969,16069,column,und,Phil Querin Q&A - Licensed Contractors  For Repair Work in Community,Null,Null,23,99999,0,100000,100001,23,1,1423534273,1426002242,1,0,0,0,0
12971,16071,column,und,Maintaining an Age-Restricted Community: A Refresher on the Housing for Older Persons Act,Null,Null,23,99999,0,100000,100001,23,1,1424193726,1512941679,1,0,0,0,0
12972,16072,column,und,Phil Querin Q&A - Distinguishing Service Animals from Companion Animals,Null,Null,23,99999,0,100000,100001,23,1,1424799531,1532310499,1,0,0,0,0
12975,16075,column,und,Phil Querin Q&A -  I understand that MHCO has developed a new Assistance Animal Agreement.  What was wrong with the old one?,Null,Null,23,99999,0,100000,100001,23,1,1425488294,1531955782,1,0,0,0,0
12977,16077,column,und,Phil Querin Q&A - Which is the best method for serving notices?,Null,Null,23,99999,0,100000,100001,23,1,1426002066,1427850774,1,0,0,0,0
12979,16079,column,und,Mark Bush Q&A: We Don't Want  Marijuana In Our RV Park,Null,Null,23,99999,0,100000,100001,23,1,1426787764,1561871853,1,0,0,0,0
12984,16084,column,und,Refinancing Mobile Home Loan at Lower Rate,Null,Null,23,99999,0,100000,100001,23,1,1427163207,1428429221,1,0,0,0,0
12985,16085,column,und,"Phil Querin Q&A: Is there ever a time you can deny a ""Reasonable Accommodation"" request?",Null,Null,23,99999,0,100000,100001,23,1,1427297143,1428936849,1,0,0,0,0
12986,16086,column,und,"Phil Querin Q&A: Is there ever a time you can deny a ""Reasonable Accommodation"" request?",Null,Null,23,99999,0,100000,100001,23,1,1427297145,1428936876,1,0,0,0,0
12993,16093,column,und,Phil Querin Q&A - Homes on Unstable Ground - Liability?,Null,Null,23,99999,0,100000,100001,23,1,1427850614,1431629719,1,0,0,0,0
12995,16095,column,und,Phil Querin Observation - Caregivers and Occupancy Agreements,Null,Null,23,99999,0,100000,100001,23,1,1428421655,1428428938,1,0,0,0,0
12996,16096,column,und,What is Customer Service?,Null,Null,23,99999,0,100000,100001,23,1,1428508168,1511229855,1,0,0,0,0
12997,16097,column,und,Phil Querin Q&A - Has the law changed on denying applicants on convictions?,Null,Null,23,99999,0,100000,100001,23,1,1428936675,1512942462,1,0,0,0,0
12999,16099,column,und,Phil Querin Q&A - Screening process and requiring valid social security number,Null,Null,23,99999,0,100000,100001,23,1,1429623569,1533926026,1,0,0,0,0
13002,16102,column,und,Mark Busch Q&A: To Tow or Not to Tow,Null,Null,23,99999,0,100000,100001,23,1,1430229862,1561871853,1,0,0,0,0
13003,16103,column,und,Finance:  Good Times,Null,Null,23,99999,0,100000,100001,23,1,1430317406,1431459686,1,0,0,0,0
13004,16104,column,und,Phil Querin Q&A: Rules for Acceptance of Partial Rent,Null,Null,23,99999,0,100000,100001,23,1,1430747973,1533925520,1,0,0,0,0
13009,16109,column,und,Community Signs - What You Need to Know,Null,Null,23,99999,0,100000,100001,23,1,1431459593,1533925079,1,0,0,0,0
13010,16110,column,und,Phil Querin Q&A - Resident Leaves but Returns Requesting Temp Occupant Status,Null,Null,23,99999,0,100000,100001,23,1,1431629596,1533922790,1,0,0,0,0
13012,16112,column,und,Phil Querin Q&A:  Community Documents - Can They Be Changed?,Null,Null,23,99999,0,100000,100001,23,1,1432054100,1534198260,1,0,0,0,0
13014,16114,column,und,Mark Busch RV Q&A: Accommodate Pit Bulls?,Null,Null,23,99999,0,100000,100001,23,1,1432736894,1561871853,1,0,0,0,0
13015,16115,column,und,Bill Miner:  Question and Answers When Selling a Community In Oregon (First of Two Parts),Null,Null,23,99999,0,100000,100001,23,1,1432827786,1562265623,1,0,0,0,0
13017,16117,column,und,Phil Querin Q&A: Home Burns Down in Community - What next?,Null,Null,23,99999,0,100000,100001,23,1,1433424506,1533923969,1,0,0,0,0
13018,16118,column,und,Phil Querin Q&A: Resident Deliberately Wasting Water - What Can I Do?,Null,Null,23,99999,0,100000,100001,23,1,1433951236,1512942462,1,0,0,0,0
13019,16119,column,und,Summer Check List With Imagination,Null,Null,23,99999,0,100000,100001,23,0,1434027787,1436450350,1,0,0,0,0
13020,16120,column,und,Phil Querin Q&A: Additional Thoughts on Home Burns Down in Community ,Null,Null,23,99999,0,100000,100001,23,0,1434479903,1435593349,1,0,0,0,0
13021,16121,column,und,Phil Querin Q&A: Hazard Trees & The Root of the Problem,Null,Null,23,99999,0,100000,100001,23,1,1435592714,1512942462,1,0,0,0,0
13022,16122,column,und,Kim Berry: Filling Mobile Spaces with RV's :  The Pros and Cons,Null,Null,23,99999,0,100000,100001,23,1,1435764336,1512942461,1,0,0,0,0
13023,16123,column,und,Bill Miner:  Question and Answers When Selling a Community In Oregon (Second of Two Parts),Null,Null,23,99999,0,100000,100001,23,1,1436370388,1562265623,1,0,0,0,0
13025,16125,column,und,Phil Querin Q&A: Section 8 Housing: Can It Require Landlord Repairs To The Home?,Null,Null,23,99999,0,100000,100001,23,1,1436884429,1512942462,1,0,0,0,0
13026,16126,column,und,First Commercial Property Article: The Importance of Rules and Regulations in YOUR Community,Null,Null,23,99999,0,100000,100001,23,1,1436969789,1438881472,1,0,0,0,0
13027,16127,column,und,Phil Querin Q&A - What To Do When Resident's Children Reach 18 Years Old and Remain In Community,Null,Null,23,99999,0,100000,100001,23,1,1438012855,1512942462,1,0,0,0,0
13030,16130,column,und,"Mark Busch Q&A: Stay and Pay"" Court Agreements""",Null,Null,23,99999,0,100000,100001,23,1,1438180137,1562265641,1,0,0,0,0
13034,16134,column,und,Phil Querin Q&A: Landlord's Right of Access to Install Submeters,Null,Null,23,99999,0,100000,100001,23,1,1438612101,1512942461,1,0,0,0,0
13037,16137,column,und,Ty Downing: Market Snapshot Manufactured Home Communities in Oregon,Null,Null,23,99999,0,100000,100001,23,1,1438872270,1512942459,1,0,0,0,0
13038,16138,column,und,Phil Querin Q&A - Landlord's Right to Convert Garbage Costs to Pass-Through Program,Null,Null,23,99999,0,100000,100001,23,1,1439221872,1535519042,1,0,0,0,0
13039,16139,column,und,Phil Querin Q&A - Landlord's Right to Convert Garbage Costs to Pass-Through Program,Null,Null,23,99999,0,100000,100001,23,0,1439221877,1535518992,1,0,0,0,0
13041,16141,column,und,Hoarding as a Fair Housing Issue: Beyond Reality TV,Null,Null,23,99999,0,100000,100001,23,1,1439910386,1512942462,1,0,0,0,0
13042,16142,column,und,Phil Querin Q&A: Dealing With a Failing Well in a Manufactured Home Community,Null,Null,23,99999,0,100000,100001,23,1,1440428319,1512942462,1,0,0,0,0
13057,16157,column,und,Phil Querin Q&A: Dealing With medical Marijuana Use in a Community,Null,Null,23,99999,0,100000,100001,23,1,1441829041,1512942459,1,0,0,0,0
13059,16159,column,und,The Time Is Now,Null,Null,23,99999,0,100000,100001,23,1,1442263882,1442266792,1,0,0,0,0
13060,16160,column,und,Mark Busch RV Q&A: Park Models in an RV Park,Null,Null,23,99999,0,100000,100001,23,1,1442423788,1562265641,1,0,0,0,0
13061,16161,column,und,Phil Querin Q&A:  Resident Dies - Administrator Initially Cooperative Turns Ugly,Null,Null,23,99999,0,100000,100001,23,1,1442515936,1531955699,1,0,0,0,0
13062,16162,column,und,Phil Querin Q&A - Tenant Video Cameras,Null,Null,23,99999,0,100000,100001,23,1,1442939755,1534198304,1,0,0,0,0
13064,16164,column,und,Phil Querin Q&A: Meth User and Eviction ,Null,Null,23,99999,0,100000,100001,23,1,1443454345,1533922000,1,0,0,0,0
13066,16166,column,und,Community Management and Positive Community Relations,Null,Null,23,99999,0,100000,100001,23,1,1444059727,1444060747,1,0,0,0,0
13067,16167,column,und,Phil Querin Q&A: Occupancy Limits in 55+ Community,Null,Null,23,99999,0,100000,100001,23,1,1444324056,1499637261,1,0,0,0,0
13068,16168,column,und,Mark Busch Q&A - RV Abandonment,Null,Null,23,99999,0,100000,100001,23,1,1444672706,1562265641,1,0,0,0,0
13070,16170,column,und,Phil Querin Article: The Supreme Court's Recent Disparate Impact Ruling: What It Means To Fair Housing Law And Occupancy Limits,Null,Null,23,99999,0,100000,100001,23,1,1444841972,1512942462,1,0,0,0,0
13072,16172,column,und,Phil Querin: Q&A:   Death of a Tenant While Temporary Occupant Residing in Premises,Null,Null,23,99999,0,100000,100001,23,1,1445300125,1512942462,1,0,0,0,0
13074,16174,column,und,Phil Querin Q&A:  Unauthorized Resident Who Is Also A Pedophile,Null,Null,23,99999,0,100000,100001,23,1,1446650591,1512942462,1,0,0,0,0
13078,16178,column,und,Phil Querin Q&A - Accepting Rent When Another Name is On the Check,Null,Null,23,99999,0,100000,100001,23,1,1447257156,1512942462,1,0,0,0,0
13079,16179,column,und,Manufactured Structures Dealer's License Facts,Null,Null,23,99999,0,100000,100001,23,1,1447259900,1512942462,1,0,0,0,0
13080,16180,column,und,Phil Querin Question and Answer: Social Security Numbers and the Application Process,Null,Null,23,99999,0,100000,100001,23,1,1447702654,1533922348,1,0,0,0,0
13087,16187,column,und,Gen Y,Null,Null,23,99999,0,100000,100001,23,1,1449111234,1450373611,1,0,0,0,0
13088,16188,column,und,New MHCO Forms and New Abandonment Law - Effective January 1st ,Null,Null,23,99999,0,100000,100001,23,0,1449525209,1449525209,1,0,0,0,0
13089,16189,column,und,New MHCO Forms and New Abandonment Law - Effective January 1st ,Null,Null,23,99999,0,100000,100001,23,0,1449525213,1449525213,1,0,0,0,0
13090,16190,column,und,New MHCO Forms and New Abandonment Law - Effective January 1st ,Null,Null,23,99999,0,100000,100001,23,1,1449525255,1512942462,1,0,0,0,0
13093,16193,column,und,Phil Querin Q&A: Storage Agreements and Lienholder Rights,Null,Null,23,99999,0,100000,100001,23,1,1450374813,1531955625,1,0,0,0,0
13095,16195,column,und,Mark Busch RV Q&A:  Landlord Christmas Story,Null,Null,23,99999,0,100000,100001,23,1,1450886589,1562265641,1,0,0,0,0
13112,16212,column,und,Phil Querin Q&A:  Assessment of Late Charges and Recovery of Costs,Null,Null,23,99999,0,100000,100001,23,1,1453917918,1512942461,1,0,0,0,0
13115,16215,column,und,Checklist for Managers When Resident Living Alone Dies,Null,Null,23,99999,0,100000,100001,23,1,1454520185,1531955699,1,0,0,0,0
13118,16218,column,und,Phil Querin Q&A: Carports and Sheds in the Community - Who Should Own Them?,Null,Null,23,99999,0,100000,100001,23,1,1455213019,1455213048,1,0,0,0,0
13119,16219,column,und,Phil Querin Q&A: Holding Rent Checks Without Depositing or Returning,Null,Null,23,99999,0,100000,100001,23,1,1455643784,1512942462,1,0,0,0,0
13121,16221,column,und,Mark Busch Q&A:  Abandoned Recreational Vehicle,Null,Null,23,99999,0,100000,100001,23,1,1455816964,1562265641,1,0,0,0,0
13124,16224,column,und,Phil Querin Q&A - Rent Tenders and Non Payment of Rent Evictions,Null,Null,23,99999,0,100000,100001,23,1,1456241275,1512942462,1,0,0,0,0
13127,16227,column,und,Phil Querin Q&A: Question: Selling a Home After Abandonement - Do I need a Mortgage Broker?,Null,Null,23,99999,0,100000,100001,23,1,1456847393,1512942462,1,0,0,0,0
13128,16228,column,und,Manage or Lead,Null,Null,23,99999,0,100000,100001,23,1,1457450587,1512941679,1,0,0,0,0
13140,16240,column,und,Avoiding Common Mistakes That Have a Big Effect On a Mobile Home Park's Cash Flow ,Null,Null,23,99999,0,100000,100001,23,1,1458053359,1512941679,1,0,0,0,0
13141,16241,column,und,Phil Querin Q&A: Home On Storage Agreement is Not Maintained - 3 Day Notice of Non Compliance,Null,Null,23,99999,0,100000,100001,23,1,1458138656,1531955625,1,0,0,0,0
13143,16243,column,und,Phil Querin Q&A: Resident Refuses to Pay Rent Increase for Last 6 Months,Null,Null,23,99999,0,100000,100001,23,1,1458660311,1512942462,1,0,0,0,0
13144,16244,column,und,55 & Older Communities - A Review,Null,Null,23,99999,0,100000,100001,23,1,1458749845,1512942461,1,0,0,0,0
13146,16246,column,und,Phil Querin Q&A - Late Charges - A Reminder,Null,Null,23,99999,0,100000,100001,23,1,1459376460,1512942461,1,0,0,0,0
13148,16248,column,und,Oregon Asbestos Survey Rules Significantly Impact MH Abandonment and Abatement Contractor List,Null,Null,23,99999,0,100000,100001,23,1,1459956403,1512942459,1,0,0,0,0
13149,16249,column,und,Phil Querin Article: Tips and Traps,Null,Null,23,99999,0,100000,100001,23,0,1459963604,1459963643,1,0,0,0,0
13150,16250,column,und,Property Management - Tips and Traps,Null,Null,23,99999,0,100000,100001,23,1,1460560848,1512942462,1,0,0,0,0
13151,16251,column,und,Phil Querin Analysis and Tips for Community Owners and Managers - HUD's New Memo on Landlord's Use of Criminal Records Under The Fair Housing Act,Null,Null,23,99999,0,100000,100001,23,1,1460592839,1512942462,1,0,0,0,0
13152,16252,column,und,Phil Querin Q&A: Park Owners Selling Formerly Abandoned Homes ,Null,Null,23,99999,0,100000,100001,23,1,1461038942,1512942462,1,0,0,0,0
13154,16254,column,und,Phil Querin Q&A: Tenant Crimes Committed Outside Park,Null,Null,23,99999,0,100000,100001,23,1,1461761827,1533922000,1,0,0,0,0
13155,16255,column,und,Mark Busch Article: Section 8 Housing Assistance - Critical Information You Need to Know,Null,Null,23,99999,0,100000,100001,23,1,1462199528,1562265641,1,0,0,0,0
13156,16256,column,und,Planning Ahead for Disasters,Null,Null,23,99999,0,100000,100001,23,1,1462249619,1512942462,1,0,0,0,0
13157,16257,column,und,Phil Querin Q&A: Sub Lease Occupant and Eviction,Null,Null,23,99999,0,100000,100001,23,1,1462460233,1462460265,1,0,0,0,0
13160,16260,column,und,"Community Financing: Interest Rates Still Near Historic Lows,  Despite Volatile Markets",Null,Null,23,99999,0,100000,100001,23,1,1463087187,1463087187,1,0,0,0,0
13161,16261,column,und,"Community Financing: Interest Rates Still Near Historic Lows,  Despite Volatile Markets",Null,Null,23,99999,0,100000,100001,23,1,1463087189,1463087189,1,0,0,0,0
13163,16263,column,und,Phil Querin Q&A: When Can You Deny Based on Criminal Background,Null,Null,23,99999,0,100000,100001,23,1,1463606459,1531955585,1,0,0,0,0
13164,16264,column,und,Working with Residents' in Disaster Preparedness,Null,Null,23,99999,0,100000,100001,23,1,1464016586,1512942838,1,0,0,0,0
13165,16265,column,und,"Phil Querin Q&A: Married Resident's Divorce - What Happens to Rental Agreement, Deposits ....",Null,Null,23,99999,0,100000,100001,23,1,1464277999,1512942462,1,0,0,0,0
13166,16266,column,und,Phil Querin Q&A: Security Deposits and Prepaid Rent,Null,Null,23,99999,0,100000,100001,23,1,1465225200,1512942462,1,0,0,0,0
13167,16267,column,und,Accepting Rent from A Resident In Default,Null,Null,23,99999,0,100000,100001,23,1,1465327881,1512942462,1,0,0,0,0
13168,16268,column,und,Phil Querin Question and Answer: Access,Null,Null,23,99999,0,100000,100001,23,1,1465839820,1512942462,1,0,0,0,0
13172,16272,column,und,Mark Busch Q&A - Unauthorized RV Occupants,Null,Null,23,99999,0,100000,100001,23,1,1466467016,1562265641,1,0,0,0,0
13173,16273,column,und,Phil Querin Q&A - Storage Agreement and Lienholder Rights,Null,Null,23,99999,0,100000,100001,23,1,1466699215,1531955625,1,0,0,0,0
13174,16274,column,und,Phil Querin Q&A - Storage Agreement and Lienholder Rights,Null,Null,23,99999,0,100000,100001,23,1,1466699217,1531955625,1,0,0,0,0
13175,16275,column,und,Phil Querin Q&A - Child in 55 & Older Community - Resident in Hospital,Null,Null,23,99999,0,100000,100001,23,1,1467122591,1512942461,1,0,0,0,0
13177,16277,column,und,Notice This!  The Most Important Oregon Statutes Affecting Park Owners Right Now!,Null,Null,23,99999,0,100000,100001,23,1,1468278756,1512942459,1,0,0,0,0
13178,16278,column,und,Phil Querin Q&A: When Resident's Bad Behavior Continues Within 30-day Notice Period,Null,Null,23,99999,0,100000,100001,23,1,1468437381,1533925429,1,0,0,0,0
13180,16280,column,und,Phil Querin Q&A: Resident Hospitalized in Coma Visiting Friends and Family Want to Stay in Home,Null,Null,23,99999,0,100000,100001,23,1,1468887910,1512942462,1,0,0,0,0
13182,16282,column,und,Pools and Summer Reminders: New Liability Claims for Discriminatory Management Guidelines,Null,Null,23,99999,0,100000,100001,23,1,1469053945,1512941679,1,0,0,0,0
