nid,vid,type,language,title,uid,status,contactinfo,description,created,changed,industry,sticky,tnid,translate
102,15817,associate_member,und,Northwest Park Brokerage,23,1,"<p>William Jackson<br />205 SE Spokane St. #348<br />Portland, Oregon 97202</p><p>Phone: (888) 205-8281<br />Fax: (503) 238-7501</p><p>www.nwparks.com</p>",,1402778511,1512943206,916,0,0,0
107,15842,associate_member,und,JMI Insurance,23,1,"<p>Lynne Lindekugel - Johnny Meeke<br />3737 SW 117th<br />Beaverton, OR 97005<br />Phone: 503-671-9966<br />Fax: 503-644-3858</p><p><a href=""http://www.jmiinsurance.com"" title=""www.jmiinsurance.com"">lynne@jmiinsurance.com<br />www.jmiinsurance.com</a></p>",,1402778511,1561152835,916,0,0,0
225,15821,associate_member,und,"Warren Allen, LLP",23,1,"<p>Jeffrey S. Bennett - Attorney<br />Warren Allen, LLP<br />850 NE 122nd Avenue<br />Ph: 503-255-8795<br />Fax: 503-255-8836</p><p>E-mail: <a href=""mailto:bennett@warrenallen.com"">bennett@warrenallen.com</a></p><p>Web Page: <a href=""http://www.warrenallen.com"" title=""www.warrenallen.com"">www.warrenallen.com</a></p>",,1402778511,1512943310,916,0,0,0
414,15827,associate_member,und,"Mark L. Busch, P.C., Attorney at Law",23,1,"<p>Mark L. Busch<br />Cornell West, Suite 200, 1500 NW Bethany Blvd<br />Beaverton, OR 97006<br />(503) 597 - 1309</p><p><a href=""mailto:mark@marklbusch.com"">mark@marklbusch.com</a></p><p><a href=""http://www.marklbusch.com"" title=""www.marklbusch.com"">www.marklbusch.com</a></p>",,1402778511,1512943271,916,0,0,0
3970,5181,associate_member,und,"Hansen Morton Associates, Inc.",23,1,"<p>7327 SW Barnes Road, #821<br />Portland, Oregon 97225</p><p>Phone: &nbsp;503-224-5871<br />Fax: 503-224-3678</p><p>E-mail: mhhmai@aol.com</p>",,1402615601,1521230051,916,0,0,0
3972,5183,associate_member,und,Mountainside Financial,23,1,"<p>Josh Ducharme<br />17 Wells Rd<br />St. Albans, VT 05454<br />Phone: 877-475-6852 ext 2602<br />Fax: 877-475-6866<br />E-mail: <a href=""mailto:JDucharme@sacu.com"">JDucharme@sacu.com</a><br /><a href=""http://www.Mountainsidefinancial.com"" target=""_blank"" title=""www.Mountainsidefinancial.com"">www.Mountainsidefinancial.com</a></p>",,1402616166,1512943608,916,0,0,0
3973,5184,associate_member,und,"West Coast Mobile Home Parks, Inc.",23,1,"<p>Rich Delaney<br />31 Airport Blvd, Suite G<br />South San Francisco, CA 94080</p><p><br />(650)589-8757<br /><a href=""mailto:rich@westcoastmhp.com"">rich@westcoastmhp.com</a></p><p>&nbsp;</p>",,1402616676,1512943425,916,0,0,0
12884,15984,associate_member,und,Jet Utilities,23,1,"<div>Kindi King</div><div>Jet Utilities</div><div>PO Box 12155</div><div>Salem, OR 97309</div><div>Ph: 503-585-4040</div><p>Fax: 503-585-4774</p><p>Email: kindi.k@jetcommunications.net</p>",,1408399196,1521229890,916,0,0,0
12885,15985,associate_member,und,First Commercial Property Corp,23,1,"<div>Ross Ronger and Joel Erlitz</div><div>First Commercial Property Corp</div><div>4500 Kruse Way #345</div><div>Lake Oswego, OR 97035</div><div>Ph: 206-985-7275</div><p>Fax: 206-985-3876</p><p>Email: ross@fcpcmgt.com</p><p>Web Page: http://firstcommercialpropertycorp.com</p>",,1408569999,1512943501,916,0,0,0
12903,16003,associate_member,und,Complete Mobile Home Sales LLC,23,1,"<p>Vicki A. Coons<br />4741 Hillcrest Rd<br />Medford, OR 97504</p><p>Phone: 541-951-6953<br />Fax: 541-772-3938<br />Email: vickicoons9@gmail.com</p><p>Website: www.complete-mobilehomes.com</p>",,1413931589,1521230079,916,0,0,0
12973,16073,associate_member,und,Colliers International,23,1,"<p>Colliers International<br />Skip Rotticci and Alex Cheng<br />851 SW 6th Ave Suite 1200</p><p>Portland, OR 97204<br />Phone: 503-499-0075<br />Email: alex.cheng@colliers.com</p><p>Website: www.colliers.com</p>",Mobile Home Park Brokerage and Advisory Services,1424904317,1562777239,916,0,0,0
13011,16111,associate_member,und,"Sterling Properties Real Estate Services, LLC",23,1,"<p>Scott Hess<br />5200 SW Meadows Rd, Suite 150<br />Lake Oswego, OR 97035</p><p>Phone: 503-726-5980<br />Fax: 360-546-3341<br />Email: scott@sterlingproperties.com</p><p>Website: www.sterlingproperties.com</p>","We provide the following services in Oregon which include Property Management Services; and (Mobile Home Sales and Purchasing of HUD Homes, and are licensed residential and commercial contractors in Oregon under the d.b.a. Sterling Homes, LLC.)",1431631275,1555696108,916,0,0,0
13069,16169,associate_member,und,Wells Fargo Multifamily Capital,23,1,"<p>Tony Petosa<br />1808 Aston Ave, Suite 270<br />Carlsbad, CA 92008</p><p>Phone: 760-505-9001<br />Fax: 760-438-8710<br />Email: tpetosa@wellsfargo.com</p><p>Website: wellsfargo.com/mhc</p>","Wells Fargo Multifamily Capital is a leading lender in the Manufactured Home Communities industry. Within the industry, Wells Fargo Multifamily Capital has originated  over $7.5 billion in agency, conduit and balance sheet loan since 2000.",1444791290,1521228858,916,0,0,0
13073,16173,associate_member,und,Totem Agencies Inc.,23,1,"<p>Dianne Daines PO Box 3419 Kirkland, WA 98083 Phone: 425-827-8774 Email: ddaines@totemagencies.com Website: www.totemagencies.com</p>",Manufactured Housing Community Insurance,1445383687,1512943436,916,0,0,0
13075,16175,associate_member,und,21st Mortgage Corporation,23,1,"<p>Candice Doolan or Heather Vires<br />PO Box 477<br />Knoxville, TN 37901<br />Phone: 800-955-0021 Ext. 1221<br />Fax: 800-209-1575</p><p>Email: candicedoolan@21stmortgage.com<br />Email: heathervires@21stmortgage.com<br />Website: www.21stmortgage.com</p>",The CASH Program at 21st Mortgage provides capital to community operators to purchase new homes including set up expenses to fill vacant sites. We also have a rental home program for community operators that will finance the rental homes to your community,1446676071,1528214035,916,0,0,0
13083,16183,associate_member,und,Oregon Commercial Realty,23,1,"<p>Mark Illsley, CCIM<br />4870 S Pacific Hwy<br />Phoenix, OR 97535</p><p>Phone: 541-941-2341<br />Email: millsley@orcommercial.com</p>","As an affiliate of CBRE-MHRV Group, we provide Mobile Home and RV Park valuation, marketing, sale and investment consulting services to west coast owners.",1448319214,1521229414,916,0,0,0
13210,16310,associate_member,und,"Submeter Solutions, Inc.",23,1,"<p>Kelly Koontz<br />45 Logan Ave South<br />Renton, WA 98057</p><p>Phone: 425-228-6831<br />Fax: 206-202-3094</p><p>Email: kelly@submetersolutions.com<br />Website: submetersolutions.com</p>",Utility Submetering and Billing Services,1472854857,1521229270,916,0,0,0
13227,16327,associate_member,und,Tomasi Salyer Martin,23,1,"<p>Eleanor A. DuBay<br />121 SW Morrison St. Suite 1850<br />Portland, OR 97204</p><p>Phone: 503-894-9900<br />Fax: 971-544-7236</p><p>Email: edubay@tomasilegal.com<br />Website: tomasilegal.com</p>",Legal services,1476224447,1521228934,916,0,0,0
13228,16328,associate_member,und,Kevin Cohen Plumbing,23,1,"<p>Nik VanNortwick<br />1544 Hwy 99 N<br />Eugene, OR 97402</p><p>Phone: 541-607-9208<br />Fax: 541-607-7033</p><p>Email: nik@kevincohenplumbing.com<br />Website: kevincohenplumbing.com</p>",Full service pluming company specializing in underground utilities.,1476815561,1521229654,916,0,0,0
13247,16347,associate_member,und,"Westland Distributing, Inc",23,1,"<p>Wyatt Brand<br />885 Stillwater Road &nbsp;#500<br />West Saramento, CA 95605</p><p>Phone: 916-374-8944<br />Fax: 916-374-0150<br />Email: W.Brand@Westland-inc.com</p><p>Website: www.westlanddistributing.com</p>","Leading Manufactured Home Parts Distributor for set up material, repair parts and accessories. Including skirting, tie down material, HVAC, awnings, appliances, etc.",1481300536,1521228779,916,0,0,0
13309,16409,associate_member,und,Marcus & Millichap,23,1,"<p>Noah Pazdral 111 SW 5th Ave Ste 1550 Portland, OR 97204 Phone: 503-200-2049 Fax: 503-200-2010 Email: noah.pazdral@marcusmillichap.com Website: marcusandmillichap.com</p>",Noah Pazdral and Jim Reiter are commercial real estate brokers specializing in the purchase and sale of mobile home parks throughout Oregon and Washington.,1492635708,1512943178,916,0,0,0
13318,16418,associate_member,und,Taylor Made Pump Stations,23,1,"<p>Mark Taylor<br />PO Box 537<br />Medford, OR 97501</p><p>Phone: 541-779-3565<br />Fax: 541-702-2224<br />Email: taylorpumpstations@gmail.com</p><p>Website: taylorpumpstations.com</p>",We supply packaged waste water pump stations. These sewage pump stations are meant to make for an easy Makeover of an existing troublesome station. If needed through our engineering associates we can supply Design services.,1494966987,1521229188,916,0,0,0
13416,16516,associate_member,und,"Hazen, Hess & Ott, PLLC",23,1,"<p>Bjorn Hess<br />723 NE 4th Ave<br />Camas, WA 98607</p><p>Phone: 360-834-7957<br />Email: bjorn.hess@gmail.com</p><p>Website: www.camaslaw.com</p>",Legal services in Washington and Oregon for Owners/Landlords of Manufactured Housing Communities.,1517338996,1530567077,916,0,0,0
13424,16524,associate_member,und,Monolith Properties,23,1,"<p>Andy Carey<br />Doug Farnham<br />3050 Fite Circle, Suite 210<br />Sacramento, CA 95827</p><p>Phone: 503-998-9331<br />Email: andy@monolithparks.com<br />Email: doug@monolithparks.com<br />Website: www.monolithparks.com</p>",Monolith Properties provides unparalleled property management services to MHP owners in Oregn and Northern California. We pledge our focus to increasing returns and reducing headaches. Our team is comprised of experienced MHP professionals.,1519160725,1535648001,916,0,0,0
13474,16574,associate_member,und,Network for Oregon Affordable Housing - NOAH,23,1,"<p>Rob Prasch<br />1020 SW Taylor St, Suite 585<br />Portland, OR 97205</p><p>Phone: 503-501-5688<br />Email: robp@noah-housing.org<br />Website: https://noah-housing.org</p>","NOAH is an affordable housing lender providing financing for multifamily affordable rental housing. We also offer predevelopment, bridge and short-term acquisition loans for both affordable rentals and manufactured home communities.",1534270834,1538343922,916,0,0,0
13565,16665,associate_member,und,Clean Air Act,23,1,"<p>Rodger Brown &amp; Sydni Knight</p><p>16582 S Carus Rd</p><p>Beavercreek, OR 97004</p><p>Phone: 503-632-1563</p><p>Email: cleanairact@cleanairact.net</p><p>Website: cleanairactheatingandac.com</p><p>&nbsp;</p>","Cleaning Service, Maintenance, and Installation of Furnace, Air Handlers, Ductless/Ducted Heat Pumps, Duct Cleanings",1556663008,1556663041,916,0,0,0
