authname,fnid,vid,type,language,titties,body,teaser,uid,by,columnimage,featureme,columntype,authoorg,authuid,mereal,pub,revtime,comment,promote,sticky,tnid,translate
chuck carpenter,282,15738,column,und,Phil Querin Q&A: Mailing Non Payment Notices Out of State - Certificate of Mailing,"<p>Answer: If the tenant has left the home, this does not mean that the landlord's non-payment of rent notices must follow the tenant around the country in order to be effective. Rather, in cases where the tenant apparently abandons the home (or at least is ignoring his/her space rent responsibilities while gone), the landlord should send the 72-hour notice to the tenant at the tenant's space. If the tenant has another address known to the landlord, he an send a courtesy copy"" so marked",Null,839,23,99999,0,100000,100001,839,1,1348510280,1402810025,1,0,0,0,0
chuck carpenter,295,15751,column,und,"Phil Querin Q&A: Partial Rent Payment & Allocation to Utilities, Fees etc.","<p>Answer: Be aware that utility charges, late fees, etc. are not rent."" Rent is the charge for the resident's right to remain at the space. As you know from the MHCO 72-hour Notice",Null,839,23,99999,0,100000,100001,839,1,1350011371,1402808743,1,0,0,0,0
chuck carpenter,298,15752,column,und,Phil Querin Q&A: Safe Margin for 80-20 Rule in 55 and Older Communities,"<p>Answer: You must have at least one person who is 55 years of age or older living in at least 80% of its occupied units. This 80/20 rule is critical. Generally, communities strive to be over 80%, since falling below 80% occupancy [even upon death of a qualifying 55+ resident] means immediate disqualification. Does this mean that your 15% safety margin must be reserved for families with children? The answer is No."" In fact",Null,839,23,99999,0,100000,100001,839,1,1350848045,1402808968,1,0,0,0,0
chuck carpenter,302,15753,column,und,Phil Querin Q&A: Major Management Mistakes - Identifying Issues Before They Spiral Out of Control,"<p>Answer: There are several issues that I see repeatedly. Here are a few: 1. Managers not adequately papering their file before taking legal action against a resident. Judges want to see that you've walked the extra mile"" with the resident",Null,839,23,99999,0,100000,100001,839,1,1352736765,1512942464,1,0,0,0,0
chuck carpenter,303,15766,column,und,Phil Querin Q&A: Trees - Liability and Responsibility ,<p>Answer: Oregon law addresses tenant responsibilities in ORS 90.740. Subsection (4)(h) says that except as provided in the rental agreement it is the tenant's responsibility to (m)aintain,Null,839,23,99999,0,100000,100001,839,1,1353346424,1512942464,1,0,0,0,0
chuck carpenter,305,15765,column,und,Phil Querin Q&A: Community Owner Providing Tenant Association Information on Residents,"<p>Answer: ORS Chapter 90, the Oregon Residential Landlord Tenant Act, is replete with references to tenant associations. Residents clearly have many rights when it comes to the formation of an association, including the right of assembly and the right to canvass other residents. However, nowhere does the law say that park owners and managers have a legal duty to provide individual contact information to other residents, regardless of the purpose for which it is sought. Here is what ORS 90.750 [Right to assemble or canvass in facility; limitations""] says on the matter: o No park bylaw",Null,839,23,99999,0,100000,100001,839,1,1354553335,1512942464,1,0,0,0,0
chuck carpenter,311,15749,column,und,Phil Querin Q&A: Resident Over Pays Rent - How to Account for Late Fees,"<p>Answer. It is unclear if there ever was an actual agreement between landlord and tenant that the overpayments were to be applied toward late fees. For purposes of this question, I will assume there was an understanding of sorts [what tenant intentionally overpays, without a reason?], but presumably not in writing; hence, this dispute. The lack of any written agreement invites an argument as to how the credits were to be applied. There is an argument this was prepaid rent"" under ORS 90.100(33) (Definitions). Prepaid rent is a payment for rent not yet due. Prepaid rent is treated much like a security deposit",Null,839,23,99999,0,100000,100001,839,1,1357857269,1402808456,1,0,0,0,0
chuck carpenter,312,15764,column,und,Phil Querin Q&A: Tree Outside of MHC Damages House inside MHC,"<p>Answer: First, this is not an issue that is addressed - or can be addressed - in our hazard tree"" discussions that the MHCO has been having recently in the landlord-tenant coalition meetings. This tree is not located in the park",Null,839,23,99999,0,100000,100001,839,1,1358822749,1402808925,1,0,0,0,0
chuck carpenter,316,15763,column,und,Phil Querin Q&A: Abandoned Home with Lots of Deferred Taxes,"<p>Answer: The Department of Revenue (DOR"") is treated like any other lienholder. It is critical that before the 45-day letter is sent",Null,839,23,99999,0,100000,100001,839,1,1360188207,1512942464,1,0,0,0,0
chuck carpenter,331,15762,column,und,Phil Querin Q&A: Renting Home & Documentation,"<p>Answer: This is a good - and important - question. Here are some points to always remember: 1. A resident who is renting the home is not under the manufactured housing section of Oregon's residential landlord-tenant law (ORLTA"") which is contained in ORS Chapter 90. This means that you do not treat non-owner residents the same way you would as if they were renting an apartment or home. Landlord and tenant rights",Null,839,23,99999,0,100000,100001,839,1,1363200263,1512942464,1,0,0,0,0
chuck carpenter,333,15761,column,und,Phil Querin Q&A: Additional Government Fees ,"<p>Answer. First, one caveat: This Answer is not intended to constitute legal advice. It is educational only, and should not be relied upon by an MHCO member in lieu of consulting their own legal counsel, who is familiar with their own specific factual situation. Let's start with a definition of a utility"" under Oregon's Residential Landlord Tenant Act. Like all legislation coming out of Salem",Null,839,23,99999,0,100000,100001,839,1,1364497604,1512942461,1,0,0,0,0
chuck carpenter,336,15760,column,und,Phil Querin Q&A: Thirteen Year Old Boy Grows Up - Resident WIthout a Background Check,"<p>Answer: This is an issue that the Oregon Residential Landlord Tenant Act (ORLTA"" or the ""Act"") is not fully equipped to address. Nowhere in the Act is there a clear answer. But connecting some dots",Null,839,23,99999,0,100000,100001,839,1,1366171811,1512942464,1,0,0,0,0
chuck carpenter,338,15758,column,und,Phil Querin Q&A: Rules Violation - 30 Day - 20 Day - OR 3 -Strikes,"<p>Answer: It's easy to get confused. There is a lot to remember. Generally all of the answers are contained in ORS 90.630 [Termination by landlord; causes; notice; cure; repeated nonpayment of rent]. Here is a short summary: o The landlord may terminate a rental agreement that is a month-to-month or fixed term tenancy in a manufactured housing community by giving not less than 30 days' notice in writing before the date designated in the notice for termination if the tenant: o Violates a law or ordinance related to the tenant's conduct as a tenant, including but not limited to a material noncompliance with ORS 90.740 [Tenant Obligations]; o Violates a rule or rental agreement provision; o Is determined to be a predatory sex offender under ORS 181.585 to 181.587; or o Fails to pay a (i) a late charge pursuant to ORS 90.260; (ii) A fee pursuant to ORS 90.302; or (iii) a utility or service charge pursuant to ORS 90.534 or 90.536. o The tenant may avoid termination of the tenancy by correcting the violation within the 30-day period specified in notice of violation. However, if substantially the same act or omission recurs within six months after the date of the notice, the landlord may terminate the tenancy upon at least 20 days' written notice specifying the violation and the date of termination of the tenancy. In such cases, the tenant does not have a right to correct the violation - and the notice must so state. o Oregon's three strikes"" law only applies to cases in which the tenant is issued three 72-hour [or 144-hour] notices within a 12-month period. [Caveat: All three notices must have been validly prepared and delivered or served. - PCQ] The ""three strikes"" law is found at ORS 90.630(8)-(10). As noted above",Null,839,23,99999,0,100000,100001,839,1,1367511423,1512942464,1,0,0,0,0
chuck carpenter,341,15759,column,und,Phil Querin Q&A: Converting Water Systems and Billing (Well Water to Public System),"<p>Answer: For purpose of addressing this issue, I will assume that the community currently includes the operating costs for the well in the base rent, i.e. it is not a charge to residents outside of base rent that is allocated to them on a prorata (i.e. per space) basis. Well water is not something you may separately charge the residents for under ORS 90.532. There is no recognized method under Oregon law to recover it separately from - or outside of - base rent. Since base rent may only be increased in accordance with the 90-day rent raise protocol described in ORS 90.600, there is no pass-through alternative for communities serviced by well water for drinking. Subsection (8) of ORS 90.532 limits utility charges for water through the following means: A landlord may not assess a utility or service charge for water unless the water is provided to the landlord by a: (a) Public utility as defined in ORS 757.005; (b) Municipal utility operating under ORS chapter 225; (c) People's utility district organized under ORS chapter 261; (d) Cooperative organized under ORS chapter 62; (e) Domestic water supply district organized under ORS chapter 264; or (f) Water improvement district organized under ORS chapter 552. (9) A landlord that provides utilities or services only to tenants of the landlord in compliance with this section and ORS 90.534 and 90.536 is not a public utility for purposes of ORS chapter 757. Your question does not indicate whether the new water system falls into one of the above categories. If it does, then you are entitled to assess a pass-through protocol, so long as the other submetering statutes are followed What follows is brief summary of the applicable statutes. As you will see, the issues are technical and complex. In short, you should secure competent legal advice from an expert familiar with your particular situation. This article or summary should not be relied upon to the exclusion of obtaining that legal advice. o 90.532 This statute sets forth the permissible billing methods park owners may use for their water charges. o 90.534 This statute describes how a landlord may charge for providing a utility or service directly to the residents' spaces by apportionment of the costs per space. o 90.536 This statute describes the use of submeters to each space and the appropriate billing method. o 90.537 This statute instructs landlords on how and when they may convert from one billing method to another. o 90.538 This statute describes the tenants' rights to inspect billing records when an owner converts from one billing system to another. In your case, since you are on well water, the only records I imagine you would have would be the well water maintenance costs, since there is no direct water charge to you. o 90.539 This statute describes the park owner's rights to access a resident's space to read the submeter. Conclusion. Without knowing more, it is hard to say definitively whether your proposed billing method [assuming the system is permissible under ORS 90.532(8)], would be allowed. However, my guess is that it is not. The reason is that the legislation and legislative history that resulted in these statutes is based upon much discussion and anecdotal experience. The categories and protocols are very specific. If you were to submeter, I suspect you could not blend"" your charges to include the equivalent of a fixed fee for everyone",Null,839,23,99999,0,100000,100001,839,1,1368559525,1512942464,1,0,0,0,0
chuck carpenter,347,15757,column,und,Phil Querin Q&A:  Boyfriend on Temp Occupant Agreement - What happens after they break up,"<p>Answer: A temporary occupant is not supposed to be paying the rent. You are not allowed to screen for the occupant's ability to pay, because they are not a tenant. Your acceptance of rent from the occupant creates an appearance that the occupant is really a tenant. Secondly, the law says that a temporary occupant may not live in the home unless there is a tenant there as well. Accordingly, if you accept rent from the temporary occupant in the absence of the tenant living there, it could create a situation where you have waived the temporary occupant status, and are now treating him as a full time tenant. Here are the rules under the temporary occupancy statute ORS 90.275: o The temporary occupant: o Is not a tenant entitled to occupy the dwelling unit to the exclusion of others; and o Does not have the rights of a tenant. o The temporary occupancy agreement may be terminated by: o The tenant without cause at any time; and o The landlord only for cause that is a material violation of the temporary occupancy agreement. o The temporary occupant does not have a right to cure a violation that causes a landlord to terminate the temporary occupancy agreement. o Before entering into a temporary occupancy agreement, a landlord may screen the proposed temporary occupant for issues regarding conduct or for a criminal record. The landlord may not screen the proposed temporary occupant for credit history or income level. o A temporary occupancy agreement: o Must expressly include the above requirements; o May provide that the temporary occupant is required to comply with any applicable rules for the premises; and o May have a specific ending date. o The landlord, tenant and temporary occupant may extend or renew a temporary occupancy agreement or may enter into a new temporary occupancy agreement. o A landlord or tenant is not required to give the temporary occupant written notice of the termination of a temporary occupancy agreement. o The temporary occupant shall promptly vacate the dwelling unit if a landlord terminates a temporary occupancy agreement for material violation of the temporary occupancy agreement or if the temporary occupancy agreement ends by its terms. o Except in cases of discrimination (ORS 90.449) a landlord may terminate the tenancy of the tenant if the temporary occupant fails to promptly vacate or if the tenant materially violates the temporary occupancy agreement. o A temporary occupant is treated as a squatter if they continue to occupy the home after a tenancy has ended or after the tenant revokes permission for the occupancy by terminating the temporary occupancy agreement. o A landlord may not enter into a temporary occupancy agreement for the purpose of evading landlord responsibilities; o A tenant may not become a temporary occupant in the tenant's own dwelling unit; o A tenancy may not consist solely of a temporary occupancy. Each tenancy must have at least one tenant. In your case, it would appear that you could either terminate the tenant's tenancy since they vacated leaving the temporary occupant to occupy alone, a violation of the statute, or terminate the temporary occupant for the same reason. I would try a written notice to the temporary occupant, to see if they will voluntarily vacate. If they refuse, then you should retain counsel and proceed to evict him as a squatter. Do not, under any circumstances, accept rent from the temporary occupant.</p>",Null,839,23,99999,0,100000,100001,839,1,1370367235,1402810325,1,0,0,0,0
chuck carpenter,357,15756,column,und,Phil Querin Q&A: Resident Builds Carport - Sells Home - New Owner Wants to Take Home and Carport,"<p>Answer: This situation is not directly addressed in the Oregon manufactured housing laws. First, some general observations: The manufactured housing side of the landlord-tenant law regards the space"" as the ""premises."" For example",Null,839,23,99999,0,100000,100001,839,1,1373600788,1512942462,1,0,0,0,0
chuck carpenter,364,15754,column,und,Phil Querin Q&A: Roaches and You!,"<p>Answer: Since the tenant does not own the home, the answer is found on the general landlord-tenant side of ORS Chapter 90 (as opposed to the manufactured housing side). Here is a summary of the tenant duties under ORS 90.325: o Use the parts of the premises including the living room, bedroom, kitchen, bathroom and dining room in a reasonable manner considering the purposes for which they were designed and intended. o Keep all areas of the premises under control of the tenant in every part as clean, sanitary and free from all accumulations of debris, filth, rubbish, garbage, rodents and vermin, as the condition of the premises permits and to the extent that the tenant is responsible for causing the problem. The tenant shall cooperate to a reasonable extent in assisting the landlord in any reasonable effort to remedy the problem. o Dispose from the dwelling unit all ashes, garbage, rubbish and other waste in a clean, safe and legal manner. With regard to needles, syringes and other infectious waste, as defined in ORS 459.386, the tenant may not dispose of these items by placing them in garbage receptacles or in any other place or manner except as authorized by state and local governmental agencies. o Keep all plumbing fixtures in the dwelling unit or used by the tenant as clean as their condition permits. o Use in a reasonable manner all electrical, plumbing, sanitary, heating, ventilating, air conditioning and other facilities and appliances including elevators in the premises. o Test at least once every six months and replace batteries as needed in any smoke alarm, smoke detector or carbon monoxide alarm provided by the landlord and notify the landlord in writing of any operating deficiencies. o Behave and require other persons on the premises with the consent of the tenant to behave in a manner that will not disturb the peaceful enjoyment of the premises by neighbors. The underscored portion above clearly applies. The next question is the right of access. That is covered in ORS 90.322. The statute is quite long and complicated. Here is a summary of the relevant portions applicable to your situation: o A landlord or, to the extent provided in this section, a landlord's agent may enter into the tenant's dwelling unit or any portion of the premises under the tenant's exclusive control in order to inspect the premises, make necessary or agreed repairs, decorations, alterations or improvements, supply necessary or agreed services, perform agreed yard maintenance or grounds keeping or exhibit the dwelling unit to prospective or actual purchasers, mortgagees, tenants, workers or contractors. The right of access of the landlord or landlord's agent is limited as follows: o In case of an emergency, a landlord may enter the dwelling unit or any portion of the premises under a tenant's exclusive control without consent of the tenant, without notice to the tenant and at any time. Emergency"" includes but is not limited to a repair problem that",Null,839,23,99999,0,100000,100001,839,1,1374984072,1402808487,1,0,0,0,0
chuck carpenter,377,15737,column,und,Phil Querin Q&A: Home Reseller Paying Fees to Employees of Another Company,"<p>Answer: I cannot find any law precisely on point, so will have to reason by analogy."" For purposes of answering the question",Null,839,23,99999,0,100000,100001,839,1,1376351713,1512942464,1,0,0,0,0
chuck carpenter,398,15719,column,und,Phil Querin Q&A: Ground Under Home Settles - Resident Wants Ground Leveled Under Home,"<p>Answer: Normally, per the park rules, leveling is a resident responsibility at the commencement of the tenancy. However, here you may have a habitability issue. Here is what the statute says: 90.730 (Landlord duty to maintain rented space, vacant spaces and common areas in habitable condition.) provides: (2) A landlord who rents a space for a manufactured dwelling or floating home shall at all times during the tenancy maintain the rented space, vacant spaces in the facility and the facility common areas in a habitable condition. The landlord does not have a duty to maintain a dwelling or home. A landlord's habitability duty under this section includes only the matters described in subsections (3) to (5) of this section. (3) For purposes of this section, a rented space is considered unhabitable if it substantially lacks: (e) At the time of commencement of the rental agreement, buildings, grounds and appurtenances that are kept in every part safe for normal and reasonably foreseeable uses, clean, sanitary and free from all accumulations of debris, filth, rubbish, garbage, rodents and vermin; This would seem to suggest that from a habitability standpoint",Null,839,23,99999,0,100000,100001,839,1,1377553219,1402810211,1,0,0,0,0
chuck carpenter,399,15718,column,und,Phil Querin Q&A: Resident Convicted of Sex Crime Is Released From Jail. What Can Be Done To Prevent This?,"<p>Answer: I assume when he was first accepted as a resident he did not have a criminal record for any sex offenses. The statute that comes into play is ORS 90.630 (Termination by landlord; causes; notice; cure; repeated nonpayment of rent.) It provides, in part:  ... the landlord may terminate a rental agreement that is a month-to-month or fixed term tenancy for space for a manufactured dwelling or floating home by giving to the tenant not less than 30 days' notice in writing before the date designated in the notice for termination if the tenant: (c) Is determined to be a predatory sex offender under ORS 181.585 to 181.587;"" This statute has only been in existence for a few years. As I read it",Null,839,23,99999,0,100000,100001,839,1,1378222423,1512942464,1,0,0,0,0
