tid,revision_id,name,langcode,status,default_langcode,changed,revision_translation_affected
985,985,Dayville,en,1,1,1561671213,1
49,49,Deer Island,en,1,1,1561671213,1
131,131,Depoe Bay,en,1,1,1561671213,1
140,140,Dexter,en,1,1,1561671213,1
10,10,Donald,en,1,1,1561671213,1
1032,1032,Dorena,en,1,1,1561671213,1
109,109,Drain,en,1,1,1561671213,1
86,86,Dundee,en,1,1,1561671213,1
896,896,Dunes City,en,1,1,1561671213,1
897,897,Durham,en,1,1,1561671213,1
102,102,Eagle Creek,en,1,1,1561671213,1
898,898,Eagle Point,en,1,1,1561671213,1
866,866,Echo,en,1,1,1561671213,1
989,989,Echo,en,1,1,1561671213,1
871,871,Elgin,en,1,1,1561671213,1
899,899,Enterprise,en,1,1,1561671213,1
57,57,Estacada,en,1,1,1561671213,1
4,4,Eugene,en,1,1,1561671213,1
36,36,Fairview,en,1,1,1561671213,1
986,986,Falls City,en,1,1,1561671213,1
55,55,Florence,en,1,1,1561671213,1
38,38,Forest Grove,en,1,1,1561671213,1
991,991,Fossil,en,1,1,1561671213,1
988,988,Garibaldi,en,1,1,1561671213,1
981,981,Gaston,en,1,1,1561671213,1
306,306,Gearhart,en,1,1,1561671213,1
900,900,Gervais,en,1,1,1561671213,1
8,8,Gladstone,en,1,1,1561671213,1
872,872,Glendale,en,1,1,1561671213,1
147,147,Gleneden Beach,en,1,1,1561671213,1
39,39,Gold Beach,en,1,1,1561671213,1
70,70,Gold Hill,en,1,1,1561671213,1
873,873,Granite,en,1,1,1561671213,1
5,5,Grants Pass,en,1,1,1561671213,1
11,11,Gresham,en,1,1,1561671213,1
987,987,Halsey,en,1,1,1561671213,1
31,31,Happy Valley,en,1,1,1561671213,1
96,96,Harrisburg,en,1,1,1561671213,1
118,118,Hebo,en,1,1,1561671213,1
874,874,Helix,en,1,1,1561671213,1
59,59,Hermiston,en,1,1,1561671213,1
51,51,Hillsboro,en,1,1,1561671213,1
901,901,Hines,en,1,1,1561671213,1
13,13,Hood River,en,1,1,1561671213,1
41,41,Hubbard,en,1,1,1561671213,1
992,992,Imbler,en,1,1,1561671213,1
83,83,Independence,en,1,1,1561671213,1
990,990,Ione,en,1,1,1561671213,1
28,28,Irrigon,en,1,1,1561671213,1
875,875,Island City,en,1,1,1561671213,1
97,97,Jacksonville,en,1,1,1561671213,1
144,144,Jefferson,en,1,1,1561671213,1
902,902,Joseph,en,1,1,1561671213,1
62,62,Junction City,en,1,1,1561671213,1
15,15,Keizer,en,1,1,1561671213,1
876,876,King City,en,1,1,1561671213,1
1113,1113,Kirkland,en,1,1,1561671213,1
75,75,Klamath Falls,en,1,1,1561671213,1
76,76,La Grande,en,1,1,1561671213,1
127,127,La Pine,en,1,1,1561671213,1
95,95,Lafayette,en,1,1,1561671213,1
42,42,Lake Oswego,en,1,1,1561671213,1
851,851,Lakeside,en,1,1,1561671213,1
78,78,Lakeview,en,1,1,1561671213,1
71,71,Lapine,en,1,1,1561671213,1
156,156,Larkspur,en,1,1,1561671213,1
98,98,Lebanon,en,1,1,1561671213,1
994,994,Lexington,en,1,1,1561671213,1
139,139,Lincoln CIty,en,1,1,1561671213,1
995,995,Long Creek,en,1,1,1561671213,1
16,16,Longview,en,1,1,1561671213,1
84,84,Los Altos,en,1,1,1561671213,1
877,877,Lowell,en,1,1,1561671213,1
878,878,Lyons,en,1,1,1561671213,1
104,104,Madras,en,1,1,1561671213,1
729,729,Manzanita,en,1,1,1561671213,1
867,867,Maupin,en,1,1,1561671213,1
20,20,McMinnville,en,1,1,1561671213,1
7,7,Medford,en,1,1,1561671213,1
903,903,Merrill,en,1,1,1561671213,1
904,904,Mill City,en,1,1,1561671213,1
905,905,Millersburg,en,1,1,1561671213,1
132,132,Milton-Freewater,en,1,1,1561671213,1
37,37,Milwaukie,en,1,1,1561671213,1
997,997,Mitchell,en,1,1,1561671213,1
82,82,Molalla,en,1,1,1561671213,1
116,116,Monmouth,en,1,1,1561671213,1
850,850,Monroe,en,1,1,1561671213,1
996,996,Monument,en,1,1,1561671213,1
993,993,Moro,en,1,1,1561671213,1
561,561,Mount Angel,en,1,1,1561671213,1
952,952,Mulino,en,1,1,1561671213,1
868,868,Myrtle Creek,en,1,1,1561671213,1
869,869,Myrtle Point,en,1,1,1561671213,1
870,870,Nehalem,en,1,1,1561671213,1
73,73,Newberg,en,1,1,1561671213,1
77,77,Newport,en,1,1,1561671213,1
81,81,Newport Beach,en,1,1,1561671213,1
25,25,North Bend,en,1,1,1561671213,1
68,68,Nyssa,en,1,1,1561671213,1
1526,1526,O'Brien,en,1,1,1561671213,1
126,126,Oakland,en,1,1,1561671213,1
155,155,Oakridge,en,1,1,1561671213,1
47,47,Ontario,en,1,1,1561671213,1
106,106,Orangevale,en,1,1,1561671213,1
1111,1111,Orangevale,en,1,1,1561671213,1
9,9,Oregon City,en,1,1,1561671213,1
99,99,Otis,en,1,1,1561671213,1
1636,1636,O`Brien,en,1,1,1561671213,1
121,121,Pacific City,en,1,1,1561671213,1
879,879,Paisley,en,1,1,1561671213,1
56,56,Pendleton,en,1,1,1561671213,1
725,725,Philomath,en,1,1,1561671213,1
35,35,Phoenix,en,1,1,1561671213,1
880,880,Pilot Rock,en,1,1,1561671213,1
113,113,Pleasant Hill,en,1,1,1561671213,1
906,906,Port Orford,en,1,1,1561671213,1
2,2,Portland,en,1,1,1561671213,1
907,907,Prairie City,en,1,1,1561671213,1
123,123,Prineville,en,1,1,1561671213,1
64,64,Rainier,en,1,1,1561671213,1
30,30,Rathdrum,en,1,1,1561671213,1
19,19,Redmond,en,1,1,1561671213,1
91,91,Reedsport,en,1,1,1561671213,1
1112,1112,Renton,en,1,1,1561671213,1
48,48,Riddle,en,1,1,1561671213,1
133,133,Ridgefield,en,1,1,1561671213,1
908,908,Rockaway Beach,en,1,1,1561671213,1
103,103,Rogue River,en,1,1,1561671213,1
23,23,Roseburg,en,1,1,1561671213,1
111,111,Ross,en,1,1,1561671213,1
727,727,Rufus,en,1,1,1561671213,1
3,3,Salem,en,1,1,1561671213,1
112,112,San Bruno,en,1,1,1561671213,1
119,119,San Carlos,en,1,1,1561671213,1
146,146,San Clemente,en,1,1,1561671213,1
1109,1109,San Diego,en,1,1,1561671213,1
44,44,Sandy,en,1,1,1561671213,1
1105,1105,Santa Ana,en,1,1,1561671213,1
1108,1108,Santa Barbara,en,1,1,1561671213,1
152,152,Santa Monica,en,1,1,1561671213,1
128,128,Scappoose,en,1,1,1561671213,1
305,305,Seaside,en,1,1,1561671213,1
157,157,Seattle,en,1,1,1561671213,1
12,12,Shady Cove,en,1,1,1561671213,1
151,151,Sheridan,en,1,1,1561671213,1
43,43,Sherwood,en,1,1,1561671213,1
1005,1005,Silver Lake,en,1,1,1561671213,1
80,80,Silverton,en,1,1,1561671213,1
909,909,Sisters,en,1,1,1561671213,1
1107,1107,South San Francisco,en,1,1,1561671213,1
195,195,Spanaway,en,1,1,1561671213,1
24,24,Sparks,en,1,1,1561671213,1
1616,1616,Spokane,en,1,1,1561671213,1
27,27,Springfield,en,1,1,1561671213,1
304,304,St. Albans,en,1,1,1561671213,1
138,138,St. Helens,en,1,1,1561671213,1
910,910,Stanfield,en,1,1,1561671213,1
134,134,Stayton,en,1,1,1561671213,1
859,859,Sublimity,en,1,1,1561671213,1
911,911,Sutherlin,en,1,1,1561671213,1
130,130,Sweet Home,en,1,1,1561671213,1
66,66,Talent,en,1,1,1561671213,1
50,50,Tangent,en,1,1,1561671213,1
145,145,Tenmile,en,1,1,1561671213,1
110,110,Terrebonne,en,1,1,1561671213,1
100,100,The Dalles,en,1,1,1561671213,1
117,117,Tigard,en,1,1,1561671213,1
79,79,Tillamook,en,1,1,1561671213,1
107,107,Toledo,en,1,1,1561671213,1
58,58,Troutdale,en,1,1,1561671213,1
87,87,Tualatin,en,1,1,1561671213,1
881,881,Turner,en,1,1,1561671213,1
912,912,Umatilla,en,1,1,1561671213,1
882,882,Union,en,1,1,1561671213,1
913,913,Vale,en,1,1,1561671213,1
63,63,Vancouver,en,1,1,1561671213,1
40,40,Veneta,en,1,1,1561671213,1
85,85,Vernonia,en,1,1,1561671213,1
1666,1666,Waddell,en,1,1,1561671213,1
67,67,Waldport,en,1,1,1561671213,1
914,914,Wallowa,en,1,1,1561671213,1
142,142,Warren,en,1,1,1561671213,1
94,94,Warrenton,en,1,1,1561671213,1
143,143,Welches,en,1,1,1561671213,1
1115,1115,West Sacramento,en,1,1,1561671213,1
1544,1544,Westfir,en,1,1,1561671213,1
915,915,Weston,en,1,1,1561671213,1
52,52,Westport,en,1,1,1561671213,1
916,916,Wheeler,en,1,1,1561671213,1
114,114,White City,en,1,1,1561671213,1
883,883,Willamina,en,1,1,1561671213,1
54,54,Wilsonville,en,1,1,1561671213,1
60,60,Winchester,en,1,1,1561671213,1
90,90,Winston,en,1,1,1561671213,1
154,154,Wood Village,en,1,1,1561671213,1
65,65,Woodburn,en,1,1,1561671213,1
884,884,Yachats,en,1,1,1561671213,1
885,885,Yamhill,en,1,1,1561671213,1
886,886,Yoncalla,en,1,1,1561671213,1
